Title,Actors,Year,Runtime_Minutes
Guardians of the Galaxy,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",2014,121
Prometheus,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",2012,124
Split,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula",2016,117
Sing,"Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",2016,108
Suicide Squad,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",2016,123
The Great Wall,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",2016,103
La La Land,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",2016,128
Mindhorn,"Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh",2016,89
The Lost City of Z,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",2016,141
Passengers,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne",2016,116
Fantastic Beasts and Where to Find Them,"Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler",2016,133
Hidden Figures,"Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner",2016,127
Rogue One,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",2016,133
Moana,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",2016,107
Colossal,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson",2016,109
The Secret Life of Pets,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell",2016,87
Hacksaw Ridge,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer",2016,139
Jason Bourne,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel",2016,123
Lion,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",2016,118
Arrival,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg",2016,116
Gold,"Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll",2016,120
Manchester by the Sea,"Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges",2016,137
Hounds of Love,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter",2016,108
Trolls,"Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse",2016,92
Independence Day: Resurgence,"Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe",2016,120
Paris pieds nus,"Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard",2016,83
Bahubali: The Beginning,"Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia",2015,159
Dead Awake,"Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty",2016,99
Bad Moms,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate",2016,100
Assassin's Creed,"Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson",2016,115
Why Him?,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer",2016,111
Nocturnal Animals,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson",2016,116
X-Men: Apocalypse,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",2016,144
Deadpool,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",2016,108
Resident Evil: The Final Chapter,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",2016,107
Captain America: Civil War,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan",2016,147
Interstellar,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",2014,169
Doctor Strange,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",2016,115
The Magnificent Seven,"Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio",2016,132
5- 25- 77,"John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn",2007,113
Sausage Party,"Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell",2016,89
Moonlight,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",2016,111
Don't Fuck in the Woods,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White",2016,73
The Founder,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",2016,115
Lowriders,"Gabriel Chavarria, Demián Bichir, Theo Rossi,Tony Revolori",2016,99
Pirates of the Caribbean: On Stranger Tides,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",2011,136
Miss Sloane,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg",2016,132
Fallen,"Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine",2016,91
Star Trek Beyond,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",2016,122
The Last Face,"Charlize Theron, Javier Bardem, Adèle Exarchopoulos,Jared Harris",2016,130
Star Wars: Episode VII - The Force Awakens,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",2015,136
Underworld: Blood Wars,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",2016,91
Mother's Day,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis",2016,118
John Wick,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",2014,101
The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine",2008,152
Silence,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano",2016,161
Don't Breathe,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",2016,88
Me Before You,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance",2016,106
Their Finest,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston",2016,117
Sully,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey",2016,96
Batman v Superman: Dawn of Justice,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",2016,151
The Autopsy of Jane Doe,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton",2016,86
The Girl on the Train,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux",2016,112
Fifty Shades of Grey,"Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford",2015,125
The Prestige,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",2006,130
Kingsman: The Secret Service,"Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine",2014,129
Patriots Day,"Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman",2016,133
Mad Max: Fury Road,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",2015,120
Wakefield,"Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara",2016,106
Deepwater Horizon,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",2016,107
The Promise,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho",2016,133
Allied,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim",2016,124
A Monster Calls,"Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell",2016,108
Collateral Beauty,"Will Smith, Edward Norton, Kate Winslet, Michael Peña",2016,97
Zootopia,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",2016,108
Pirates of the Caribbean: At World's End,"Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush",2007,169
The Avengers,"Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner",2012,143
Inglourious Basterds,"Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent",2009,153
Pirates of the Caribbean: Dead Man's Chest,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",2006,151
Ghostbusters,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",2016,116
Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",2010,148
Captain Fantastic,"Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso",2016,118
The Wolf of Wall Street,"Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey",2013,180
Gone Girl,"Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry",2014,149
Furious Seven,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham",2015,137
Jurassic World,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer",2015,124
Live by Night,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina",2016,129
Avatar,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",2009,162
The Hateful Eight,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",2015,187
The Accountant,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",2016,128
Prisoners,"Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo",2013,153
Warcraft,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",2016,123
The Help,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",2011,146
War Dogs,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner",2016,114
Avengers: Age of Ultron,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",2015,141
The Nice Guys,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer",2016,116
Kimi no na wa,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki",2016,106
The Void,"Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe",2016,90
Personal Shopper,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie",2016,105
The Departed,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",2006,151
Legend,"Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson",2015,132
Thor,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",2011,115
The Martian,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",2015,144
Contratiempo,"Mario Casas, Ana Wagener, José Coronado, Bárbara Lennie",2016,106
The Man from U.N.C.L.E.,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",2015,116
Hell or High Water,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham",2016,102
The Comedian,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco",2016,120
The Legend of Tarzan,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",2016,110
All We Had,"Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis",2016,105
Ex Machina,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno",2014,108
The Belko Experiment,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley",2016,89
12 Years a Slave,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",2013,134
The Bad Batch,"Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna",2016,118
300,"Gerard Butler, Lena Headey, David Wenham, Dominic West",2006,117
Harry Potter and the Deathly Hallows: Part 2,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",2011,130
Office Christmas Party,"Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston",2016,105
The Neon Demon,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman",2016,118
Dangal,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra",2016,161
10 Cloverfield Lane,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",2016,104
Finding Dory,"Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson",2016,97
Miss Peregrine's Home for Peculiar Children,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",2016,127
Divergent,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney",2014,139
Mike and Dave Need Wedding Dates,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",2016,98
Boyka: Undisputed IV,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov",2016,86
The Dark Knight Rises,"Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman",2012,164
The Jungle Book,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",2016,106
Transformers: Age of Extinction,"Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci",2014,165
Nerve,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",2016,96
Mamma Mia!,"Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård",2008,108
The Revenant,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",2015,156
Fences,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo",2016,139
Into the Woods,"Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt",2014,125
The Shallows,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen",2016,86
Whiplash,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",2014,107
Furious 6,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez",2013,130
The Place Beyond the Pines,"Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook",2012,140
No Country for Old Men,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",2007,122
The Great Gatsby,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire",2013,143
Shutter Island,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley",2010,138
Brimstone,"Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten",2016,148
Star Trek,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",2009,127
Diary of a Wimpy Kid,"Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn",2010,94
The Big Short,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt",2015,130
Room,"Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson",2015,118
Django Unchained,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington",2012,165
Ah-ga-ssi,"Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon",2016,144
The Edge of Seventeen,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick",2016,104
Watchmen,"Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman",2009,162
Superbad,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader",2007,113
Inferno,"Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster",2016,121
The BFG,"Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement",2016,117
The Hunger Games,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci",2012,142
White Girl,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez",2016,88
Sicario,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",2015,121
Twin Peaks: The Missing Pieces,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder",2014,91
Aliens vs Predator - Requiem,"Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz",2007,94
Pacific Rim,"Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day",2013,131
"Crazy, Stupid, Love.","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",2011,118
Scott Pilgrim vs. the World,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill",2010,112
Hot Fuzz,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy",2007,121
Mine,"Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer",2016,106
Free Fire,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy",2016,90
X-Men: Days of Future Past,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",2014,132
Jack Reacher: Never Go Back,"Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper",2016,118
Casino Royale,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",2006,144
Twilight,"Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke",2008,122
Now You See Me 2,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",2016,129
Woman in Gold,"Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes",2015,109
13 Hours,"John Krasinski, Pablo Schreiber, James Badge Dale,David Denman",2016,144
Spectre,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",2015,148
Nightcrawler,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed",2014,118
Kubo and the Two Strings,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes",2016,101
Beyond the Gates,"Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton",2016,84
Her,"Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara",2013,126
Frozen,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",2013,102
Tomorrowland,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy",2015,130
Dawn of the Planet of the Apes,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",2014,130
Tropic Thunder,"Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn",2008,107
The Conjuring 2,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor",2016,134
Ant-Man,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly",2015,117
Bridget Jones's Baby,"Renée Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips",2016,118
The VVitch: A New-England Folktale,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings",2015,92
Cinderella,"Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter",2015,105
Realive,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward",2016,112
Forushande,"Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini",2016,124
Love,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra",2015,135
Billy Lynn's Long Halftime Walk,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee",2016,113
Crimson Peak,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam",2015,119
Drive,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",2011,100
Trainwreck,"Amy Schumer, Bill Hader, Brie Larson, Colin Quinn",2015,125
The Light Between Oceans,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery",2016,133
Below Her Mouth,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen",2016,94
Spotlight,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",2015,128
Morgan,"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare",2016,92
Warrior,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison",2011,140
Captain America: The First Avenger,"Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell",2011,124
Hacker,"Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr.",2016,95
Into the Wild,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden",2007,148
The Imitation Game,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech",2014,114
Central Intelligence,"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan",2016,107
Edge of Tomorrow,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",2014,113
A Cure for Wellness,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",2016,146
Snowden,"Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto",2016,134
Iron Man,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",2008,126
Allegiant,"Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts",2016,120
X: First Class,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",2011,132
Raw (II),"Garance Marillier, Ella Rumpf, Rabah Nait Oufella,Laurent Lucas",2016,99
Paterson,"Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji",2016,118
Bridesmaids,"Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews",2011,125
The Girl with All the Gifts,"Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine",2016,111
San Andreas,"Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes",2015,114
Spring Breakers,"Vanessa Hudgens, Selena Gomez, Ashley Benson,Rachel Korine",2012,94
Transformers,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",2007,144
Old Boy,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley",2013,104
Thor: The Dark World,"Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan Skarsgård",2013,112
Gods of Egypt,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",2016,126
Captain America: The Winter Soldier,"Chris Evans, Samuel L. Jackson,Scarlett Johansson, Robert Redford",2014,136
Monster Trucks,"Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",2016,104
A Dark Song,"Mark Huberman, Susan Loughnane, Steve Oram,Catherine Walker",2016,100
Kick-Ass,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown",2010,117
Hardcore Henry,"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky",2015,96
Cars,"Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy",2006,117
It Follows,"Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe",2014,100
The Girl with the Dragon Tattoo,"Daniel Craig, Rooney Mara, Christopher Plummer,Stellan Skarsgård",2011,158
We're the Millers,"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms",2013,110
American Honey,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi",2016,163
The Lobster,"Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman",2015,119
Predators,"Adrien Brody, Laurence Fishburne, Topher Grace,Alice Braga",2010,107
Maleficent,"Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville",2014,97
Rupture,"Noomi Rapace, Michael Chiklis, Kerry Bishé,Peter Stormare",2016,102
Pan's Labyrinth,"Ivana Baquero, Ariadna Gil, Sergi López,Maribel Verdú",2006,118
A Kind of Murder,"Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser",2016,95
Apocalypto,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández,Rudy Youngblood",2006,139
Mission: Impossible - Rogue Nation,"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg",2015,131
The Huntsman: Winter's War,"Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt",2016,114
The Perks of Being a Wallflower,"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd",2012,102
Jackie,"Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup",2016,100
The Disappointments Room,"Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till",2016,85
The Grand Budapest Hotel,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric,Adrien Brody",2014,99
The Host,"Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger",2013,125
Fury,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña",2014,134
Inside Out,"Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling",2015,95
Rock Dog,"Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black",2016,90
Terminator Genisys,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Jai Courtney",2015,126
Percy Jackson & the Olympians: The Lightning Thief,"Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson",2010,118
Les Misérables,"Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried",2012,158
Children of Men,"Julianne Moore, Clive Owen, Chiwetel Ejiofor,Michael Caine",2006,109
