Title,Actors,Year,Runtime_Minutes
20th Century Women,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup",2016,119
Spy,"Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham",2015,119
The Intouchables,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",2011,112
Bonjour Anne,"Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch",2016,92
Kynodontas,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis",2009,94
Straight Outta Compton,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.",2015,147
The Amazing Spider-Man 2,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",2014,142
The Conjuring,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor",2013,112
The Hangover,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms",2009,100
Battleship,"Alexander Skarsgård, Brooklyn Decker, Liam Neeson,Rihanna",2012,131
Rise of the Planet of the Apes,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",2011,105
Lights Out,"Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke",2016,81
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Richard Gere, Lior Ashkenazi, Michael Sheen,Charlotte Gainsbourg",2016,118
Birdman or (The Unexpected Virtue of Ignorance),"Michael Keaton, Zach Galifianakis,Edward Norton, Andrea Riseborough",2014,119
Black Swan,"Natalie Portman, Mila Kunis, Vincent Cassel,Winona Ryder",2010,108
Dear White People,"Tyler James Williams, Tessa Thompson, Kyle Gallner,Teyonah Parris",2014,108
Nymphomaniac: Vol. I,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf",2013,117
Teenage Mutant Ninja Turtles: Out of the Shadows,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney",2016,112
Knock Knock,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns",2015,99
Dirty Grandpa,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza",2016,102
Cloud Atlas,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",2012,172
X-Men Origins: Wolverine,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",2009,107
Satanic,"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet",2016,85
Skyfall,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",2012,143
The Hobbit: An Unexpected Journey,"Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis",2012,169
21 Jump Street,"Jonah Hill, Channing Tatum, Ice Cube,Brie Larson",2012,110
Sing Street,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor",2016,106
Ballerina,"Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler",2016,89
Oblivion,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko",2013,124
22 Jump Street,"Channing Tatum, Jonah Hill, Ice Cube,Nick Offerman",2014,112
Zodiac,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards",2007,157
Everybody Wants Some!!,"Blake Jenner, Tyler Hoechlin, Ryan Guzman,Zoey Deutch",2016,117
Iron Man Three,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle",2013,130
Now You See Me,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson",2013,115
Sherlock Holmes,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",2009,128
Death Proof,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito",2007,113
The Danish Girl,"Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw",2015,119
Hercules,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",2014,98
Sucker Punch,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone",2011,110
Keeping Up with the Joneses,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",2016,105
Jupiter Ascending,"Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean",2015,127
Masterminds,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",2016,95
Iris,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin",2016,99
Busanhaeng,"Yoo Gong, Soo-an Kim, Yu-mi Jung, Dong-seok Ma",2016,118
Pitch Perfect,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp",2012,112
Neighbors 2: Sorority Rising,"Seth Rogen, Rose Byrne, Zac Efron, Chloë Grace Moretz",2016,92
The Exception,"Lily James, Jai Courtney, Christopher Plummer, Loïs van Wijk",2016,107
Man of Steel,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",2013,143
The Choice,"Benjamin Walker, Teresa Palmer, Alexandra Daddario,Maggie Grace",2016,111
Ice Age: Collision Course,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge",2016,94
The Devil Wears Prada,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt",2006,109
The Infiltrator,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",2016,127
There Will Be Blood,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds,Martin Stringer",2007,158
The Equalizer,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",2014,132
Lone Survivor,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",2013,121
The Cabin in the Woods,"Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz",2012,95
The House Bunny,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings",2008,97
She's Out of My League,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel",2010,104
Inherent Vice,"Joaquin Phoenix, Josh Brolin, Owen Wilson,Katherine Waterston",2014,148
Alice Through the Looking Glass,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",2016,113
Vincent N Roxxy,"Emile Hirsch, Zoë Kravitz, Zoey Deutch,Emory Cohen",2016,110
The Fast and the Furious: Tokyo Drift,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette",2006,104
How to Be Single,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie",2016,110
The Blind Side,"Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head",2009,129
La vie d'Adèle,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing",2013,180
The Babadook,"Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney",2014,93
The Hobbit: The Battle of the Five Armies,"Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett",2014,144
Harry Potter and the Order of the Phoenix,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",2007,138
Snowpiercer,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris",2013,126
The 5th Wave,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez,Bailey Anne Borders",2016,112
The Stakelander,"Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson",2016,81
The Visit,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",2015,94
Fast Five,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",2011,131
Step Up,"Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington",2006,104
Lovesong,"Riley Keough, Jena Malone, Jessie Ok Gray, Cary Joji Fukunaga",2016,84
RocknRolla,"Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton",2008,114
In Time,"Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde",2011,109
The Social Network,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara",2010,120
The Last Witch Hunter,"Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson",2015,106
Victor Frankenstein,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott",2015,110
A Street Cat Named Bob,"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt",2016,103
Green Room,"Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart",2015,95
Blackhat,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang",2015,133
Storks,"Andy Samberg, Katie Crown,Kelsey Grammer, Jennifer Aniston",2016,87
American Sniper,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis",2014,133
Dallas Buyers Club,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn",2013,117
Lincoln,"Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt",2012,150
Rush,"Daniel Brühl, Chris Hemsworth, Olivia Wilde,Alexandra Maria Lara",2013,123
Before I Wake,"Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish",2016,97
Silver Linings Playbook,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",2012,122
Tracktown,"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley",2016,88
The Fault in Our Stars,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",2014,126
Blended,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon",2014,117
Fast & Furious,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster",2009,107
Looper,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",2012,119
White House Down,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke",2013,131
Pete's Dragon,"Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence",2016,102
Spider-Man 3,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",2007,139
The Three Musketeers,"Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich",2011,110
Stardust,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen",2007,127
American Hustle,"Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence",2013,138
Jennifer's Body,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons",2009,102
Midnight in Paris,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller",2011,94
Lady Macbeth,"Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie",2016,89
Joy,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",2015,124
The Dressmaker,"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving",2015,119
Café Society,"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively",2016,96
Insurgent,"Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet",2015,119
Seventh Son,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",2014,102
Demain tout commence,"Omar Sy, Clémence Poésy, Antoine Bertrand, Ashley Walters",2016,118
The Theory of Everything,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",2014,123
This Is the End,"James Franco, Jonah Hill, Seth Rogen,Jay Baruchel",2013,107
About Time,"Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson",2013,123
Step Brothers,"Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins",2008,98
Clown,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano",2014,100
Star Trek Into Darkness,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",2013,132
Zombieland,"Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin",2009,88
"Hail, Caesar!","Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",2016,106
Slumdog Millionaire,"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor",2008,120
The Twilight Saga: Breaking Dawn - Part 2,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",2012,115
American Wrestler: The Wizard,"William Fichtner, Jon Voight, Lia Marie Johnson,Gabriel Basso",2016,117
The Amazing Spider-Man,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",2012,136
Ben-Hur,"Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi",2016,123
Sleight,"Jacob Latimore, Seychelle Gabriel, Dulé Hill, Storm Reid",2016,89
The Maze Runner,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster",2014,113
Criminal,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman",2016,113
Wanted,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp",2008,110
Florence Foster Jenkins,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson",2016,111
Collide,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley",2016,99
Black Mass,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton",2015,123
Creed,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",2015,133
Swiss Army Man,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",2016,97
The Expendables 3,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",2014,126
What We Do in the Shadows,"Jemaine Clement, Taika Waititi,Cori Gonzalez-Macuer, Jonny Brugh",2014,86
Southpaw,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker",2015,124
Hush,"John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan",2016,81
Bridge of Spies,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan",2015,142
The Lego Movie,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",2014,100
Everest,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson",2015,121
Pixels,"Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage",2015,105
Robin Hood,"Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow",2010,140
The Wolverine,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",2013,126
John Carter,"Taylor Kitsch, Lynn Collins, Willem Dafoe,Samantha Morton",2012,132
Keanu,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish,Method Man",2016,100
The Gunman,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem",2015,115
Steve Jobs,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels",2015,122
Whisky Galore,"Tim Pigott-Smith, Naomi Battrick, Ellie Kendrick,James Cosmo",2016,98
Grown Ups 2,"Adam Sandler, Kevin James, Chris Rock, David Spade",2013,101
The Age of Adaline,"Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker",2015,112
The Incredible Hulk,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",2008,112
Couples Retreat,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",2009,113
Absolutely Anything,"Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle",2015,85
Magic Mike,"Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey",2012,110
Minions,"Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin",2015,91
The Black Room,"Natasha Henstridge, Lukas Hassel, Lin Shaye,Dominique Swain",2016,91
Bronson,"Tom Hardy, Kelly Adams, Luing Andrews,Katy Barker",2008,92
Despicable Me,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",2010,95
The Best of Me,"James Marsden, Michelle Monaghan, Luke Bracey,Liana Liberato",2014,118
The Invitation,"Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard",2015,100
Zero Dark Thirty,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong",2012,157
Tangled,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",2010,100
The Hunger Games: Mockingjay - Part 2,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2015,137
Vacation,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins",2015,99
Taken,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",2008,93
Pitch Perfect 2,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld,Brittany Snow",2015,115
Monsters University,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",2013,104
Elle,"Isabelle Huppert, Laurent Lafitte, Anne Consigny,Charles Berling",2016,130
Mechanic: Resurrection,"Jason Statham, Jessica Alba, Tommy Lee Jones,Michelle Yeoh",2016,98
Tusk,"Justin Long, Michael Parks, Haley Joel Osment,Genesis Rodriguez",2014,102
The Headhunter's Calling,"Alison Brie, Gerard Butler, Willem Dafoe, Gretchen Mol",2016,108
Atonement,"Keira Knightley, James McAvoy, Brenda Blethyn,Saoirse Ronan",2007,123
Harry Potter and the Deathly Hallows: Part 1,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy",2010,146
Shame,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",2011,101
Hanna,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps",2011,111
The Babysitters,"Lauren Birkell, Paul Borghese, Chira Cassel, Anthony Cirillo",2007,88
Pride and Prejudice and Zombies,"Lily James, Sam Riley, Jack Huston, Bella Heathcote",2016,108
300: Rise of an Empire,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",2014,102
London Has Fallen,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett",2016,99
The Curious Case of Benjamin Button,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond",2008,166
Sin City: A Dame to Kill For,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt",2014,102
The Bourne Ultimatum,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",2007,115
Srpski film,"Srdjan 'Zika' Todorovic, Sergej Trifunovic,Jelena Gavrilovic, Slobodan Bestic",2010,104
The Purge: Election Year,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria",2016,109
3 Idiots,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",2009,170
Zoolander 2,"Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell",2016,102
World War Z,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",2013,116
Mission: Impossible - Ghost Protocol,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",2011,132
Let Me Make You a Martyr,"Marilyn Manson, Mark Boone Junior, Sam Quartin, Niko Nicotera",2016,102
Filth,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots",2013,97
The Longest Ride,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston",2015,123
The imposible,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast",2012,114
Kick-Ass 2,"Aaron Taylor-Johnson, Chloë Grace Moretz,Christopher Mintz-Plasse, Jim Carrey",2013,103
Folk Hero & Funny Guy,"Alex Karpovsky, Wyatt Russell, Meredith Hagner,Melanie Lynskey",2016,88
Oz the Great and Powerful,"James Franco, Michelle Williams, Rachel Weisz, Mila Kunis",2013,130
Brooklyn,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson,Jim Broadbent",2015,117
Coraline,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders",2009,100
Blue Valentine,"Ryan Gosling, Michelle Williams, John Doman,Faith Wladyka",2010,112
The Thinning,"Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy",2016,81
Silent Hill,"Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger",2006,125
Dredd,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood",2012,95
Hunt for the Wilderpeople,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",2016,101
Big Hero 6,"Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller",2014,102
Carrie,"Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday",2013,100
Iron Man 2,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,Don Cheadle",2010,124
Demolition,"Jake Gyllenhaal, Naomi Watts, Chris Cooper,Judah Lewis",2015,101
Pandorum,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue",2009,108
Olympus Has Fallen,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett",2013,119
I Am Number Four,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer",2011,109
Jagten,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",2012,115
The Proposal,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen,Craig T. Nelson",2009,108
Get Hard,"Will Ferrell, Kevin Hart, Alison Brie, T.I.",2015,100
Just Go with It,"Adam Sandler, Jennifer Aniston, Brooklyn Decker,Nicole Kidman",2011,117
Revolutionary Road,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie",2008,119
The Town,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",2010,125
The Boy,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",2016,97
Denial,"Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott",2016,109
Predestination,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West",2014,97
Goosebumps,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",2015,103
Sherlock Holmes: A Game of Shadows,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",2011,129
Salt,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",2010,100
Enemy,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon,Isabella Rossellini",2013,91
District 9,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt",2009,112
The Other Guys,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",2010,107
American Gangster,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin",2007,157
Marie Antoinette,"Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis",2006,123
2012,"John Cusack, Thandie Newton, Chiwetel Ejiofor,Amanda Peet",2009,158
Harry Potter and the Half-Blood Prince,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",2009,153
Argo,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",2012,120
Eddie the Eagle,"Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley",2016,106
The Lives of Others,"Ulrich Mühe, Martina Gedeck,Sebastian Koch, Ulrich Tukur",2006,137
Pet,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy,Da'Vone McDonald",2016,94
Paint It Black,"Alia Shawkat, Nancy Kwan, Annabelle Attanasio,Alfred Molina",2016,96
Macbeth,"Michael Fassbender, Marion Cotillard, Jack Madigan,Frank Madigan",2015,113
Forgetting Sarah Marshall,"Kristen Bell, Jason Segel, Paul Rudd, Mila Kunis",2008,111
The Giver,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift",2014,97
Triple 9,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie,Aaron Paul",2016,115
Perfetti sconosciuti,"Giuseppe Battiston, Anna Foglietta, Marco Giallini,Edoardo Leo",2016,97
Angry Birds,"Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph",2016,97
Moonrise Kingdom,"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray",2012,94
Hairspray,"John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer",2007,117
Safe Haven,"Julianne Hough, Josh Duhamel, Cobie Smulders,David Lyons",2013,115
Focus,"Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez",2015,105
Ratatouille,"Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm",2007,111
Stake Land,"Connor Paolo, Nick Damici, Kelly McGillis, Gregory Jones",2010,98
The Book of Eli,"Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman",2010,118
Cloverfield,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller",2008,85
Point Break,"Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",2015,114
Under the Skin,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell",2013,108
I Am Legend,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",2007,101
Men in Black 3,"Will Smith, Tommy Lee Jones, Josh Brolin,Jemaine Clement",2012,106
